GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Money Transfer Service,com.exercise.banking.service.transfer.money.exception,ErrorResponse,0,12,0,0,0,5,0,1,0,1
Money Transfer Service,com.exercise.banking.service.transfer.money.exception,TransactionProcessingException,0,16,0,0,0,2,0,1,0,1
Money Transfer Service,com.exercise.banking.service.transfer.money.exception,InsufficientFundsException,0,11,0,0,0,2,0,1,0,1
Money Transfer Service,com.exercise.banking.service.transfer.money.exception,GlobalExceptionHandler,0,78,0,0,0,13,0,7,0,7
Money Transfer Service,com.exercise.banking.service.transfer.money.exception,PayeeNotRegisteredException,0,15,0,0,0,2,0,1,0,1
Money Transfer Service,com.exercise.banking.service.transfer.money.exception,AccountNotFoundException,0,5,0,0,0,2,0,1,0,1
Money Transfer Service,com.exercise.banking.service.transfer.money,MoneyTransferApplication,5,3,0,0,2,1,1,1,1,1
Money Transfer Service,com.exercise.banking.service.transfer.money.model,TransferType,0,28,0,0,0,7,0,3,0,3
Money Transfer Service,com.exercise.banking.service.transfer.money.model,Account,39,28,12,0,6,4,7,2,1,2
Money Transfer Service,com.exercise.banking.service.transfer.money.model,Payee,45,24,14,0,7,1,8,1,1,1
Money Transfer Service,com.exercise.banking.service.transfer.money.model,PayeeType,0,15,0,0,0,2,0,1,0,1
Money Transfer Service,com.exercise.banking.service.transfer.money.model,TransactionStatus,0,21,0,0,0,2,0,1,0,1
Money Transfer Service,com.exercise.banking.service.transfer.money.model,Transaction,7,0,2,0,3,0,2,0,1,0
Money Transfer Service,com.exercise.banking.service.transfer.money.config,BankConfiguration,6,3,0,0,2,1,2,1,2,1
Money Transfer Service,com.exercise.banking.service.transfer.money.config,DataInitializer,130,7,0,0,22,2,1,2,1,2
Money Transfer Service,com.exercise.banking.service.transfer.money.service,TransferServiceSelector,0,35,0,4,0,11,0,5,0,3
Money Transfer Service,com.exercise.banking.service.transfer.money.service,AccountService,0,49,0,0,0,11,0,6,0,6
Money Transfer Service,com.exercise.banking.service.transfer.money.service.impl,AbstractTransferServiceImpl,0,272,0,4,0,54,0,14,0,12
Money Transfer Service,com.exercise.banking.service.transfer.money.service.impl,IntraBankTransferService,0,111,0,0,0,18,0,6,0,6
Money Transfer Service,com.exercise.banking.service.transfer.money.service.impl,InterBankTransferService,0,51,0,0,0,8,0,3,0,3
Money Transfer Service,com.exercise.banking.service.transfer.money.controller,TransferController,0,39,0,0,0,10,0,3,0,3
